country,date,year,fx_rate,fx_return,fx_drawdown,reserves,reserves_return,reserves_drawdown,fdi_pct_gdp
Afghanistan,1960-01-01,1960,17.1965606878624,,0.0,50690800.0,,0.0,
Afghanistan,1961-01-01,1961,17.1965606878624,0.0,0.0,42444500.0,-0.16267843474555543,-0.16267843474555543,
Afghanistan,1962-01-01,1962,17.1965606878624,0.0,0.0,40592100.0,-0.04364287481299112,-0.1992215549961729,
Afghanistan,1963-01-01,1963,35.1096447377192,1.041666666666674,0.0,45547800.0,0.12208533187492154,-0.10145825277959708,
Afghanistan,1964-01-01,1964,38.6922615476905,0.10204081632652917,0.0,44619680.0,-0.020376834885548756,-0.11976768960047979,
Afghanistan,1965-01-01,1965,38.6922615476905,0.0,0.0,45434560.0,0.018262793457954007,-0.10369218872063568,
Afghanistan,1966-01-01,1966,38.6922615476905,0.0,0.0,47114050.0,0.03696503278561525,-0.07056014109069098,
Afghanistan,1967-01-01,1967,38.6922615476905,0.0,0.0,38528800.0,-0.18222271275765933,-0.23992519352624142,
Afghanistan,1968-01-01,1968,38.6922615476905,0.0,0.0,45589800.0,0.1832655052843588,-0.10062970006391692,
Afghanistan,1969-01-01,1969,38.6922615476905,0.0,0.0,41373600.0,-0.09248121290288613,-0.18380455625083847,
Afghanistan,1970-01-01,1970,38.6922615476905,0.0,0.0,49488930.0,0.19614754336098383,-0.023709825057012357,
Afghanistan,1971-01-01,1971,38.6922615476905,0.0,0.0,67614026.95,0.36624548055494444,0.0,
Afghanistan,1972-01-01,1972,38.6922615476905,0.0,0.0,81289660.87,0.2022603080587555,0.0,
Afghanistan,1973-01-01,1973,38.6922615476905,0.0,0.0,126230158.2,0.552843951481969,0.0,
Afghanistan,1974-01-01,1974,38.3787089832034,-0.008103753875968844,-0.008103753875968844,201456356.9,0.5959447391392083,0.0,
Afghanistan,1975-01-01,1975,34.9296307738452,-0.0898695735405719,-0.09724504651162968,217260903.8,0.07845146781764334,0.0,
Afghanistan,1976-01-01,1976,34.9296307738452,0.0,-0.09724504651162968,256505577.3,0.18063384996375964,0.0,
Afghanistan,1977-01-01,1977,34.9296307738452,0.0,-0.09724504651162968,431038896.5,0.6804269951443274,0.0,
Afghanistan,1978-01-01,1978,34.9296307738452,0.0,-0.09724504651162968,605029119.8,0.4036531846958269,0.0,
Afghanistan,1979-01-01,1979,33.8461643196361,-0.031018548727986484,-0.12524719502583992,934779039.4,0.5450149568156373,0.0,
Afghanistan,1980-01-01,1980,34.3694584015197,0.015460956725900088,-0.11172267976227468,940035968.5,0.005623713068463987,0.0,
Afghanistan,1981-01-01,1981,38.5616585156635,0.12197457594962957,-0.0033754303006047204,657880757.5,-0.30015363289793096,-0.30015363289793096,
Afghanistan,1982-01-01,1982,39.276429270146,0.018535788708158307,0.0,698660805.6,0.06198699024876109,-0.2567722629647442,
Afghanistan,1983-01-01,1983,39.276429270146,0.0,0.0,582311039.8,-0.16653255036981862,-0.38054387351881425,
Afghanistan,1984-01-01,1984,39.276429270146,0.0,0.0,526217137.2,-0.09632979415823184,-0.4402159546728025,
Afghanistan,1985-01-01,1985,39.276429270146,0.0,0.0,610761731.1,0.16066484331897968,-0.35027833873784375,
Afghanistan,1986-01-01,1986,39.276429270146,0.0,0.0,635742142.3,0.04090041980038506,-0.32370445003881787,
Afghanistan,1987-01-01,1987,39.276429270146,0.0,0.0,746832947.4,0.17474192397894783,-0.2055272644602003,
Afghanistan,1988-01-01,1988,39.276429270146,0.0,0.0,657015441.6,-0.12026451981355091,-0.30107414650485254,
Afghanistan,1989-01-01,1989,39.276429270146,0.0,0.0,630659707.9,-0.04011432917895674,-0.3291110882636402,
Afghanistan,1990-01-01,1990,39.276429270146,0.0,0.0,637925667.4,0.011521204556090181,-0.3213816398771129,
Afghanistan,1991-01-01,1991,39.276429270146,0.0,0.0,576118920.3,-0.0968870673473704,-0.3871309826375011,
Afghanistan,2008-01-01,2008,50.2496147435897,0.005756312215294601,0.0,3042274496.0,4.280636321431363,0.0,0.455360445
Afghanistan,2009-01-01,2009,50.325,0.0015002156095120789,0.0,4265888740.0,0.4022037609061295,0.0,0.451889146
Afghanistan,2010-01-01,2010,46.4524610013175,-0.07695060106671636,-0.07695060106671636,5162440807.0,0.21016770985921207,0.0,1.20311799
Afghanistan,2011-01-01,2011,46.747007738581,0.006340820936379332,-0.07109771011264787,6344641960.0,0.22900042774282214,0.0,0.29302518
Afghanistan,2012-01-01,2012,50.9214,0.08929752861965135,0.0,7152304398.0,0.127298347659637,0.0,0.285440894
Afghanistan,2013-01-01,2013,55.3775,0.08750937719701346,0.0,7288702711.0,0.019070540822918813,0.0,0.239801184
Afghanistan,2014-01-01,2014,57.2475,0.033768227168073706,0.0,7528549880.0,0.032906702126569876,0.0,0.209664795
Afghanistan,2015-01-01,2015,61.1434615416667,0.0680547018064841,0.0,6976966154.0,-0.07326560025394957,-0.07326560025394957,0.884000463
Afghanistan,2016-01-01,2016,67.8660857692308,0.10994837482308584,0.0,7281910524.0,0.043707302467731024,-0.03276053953699776,0.516606085
Afghanistan,2017-01-01,2017,68.0269040822312,0.002369641790558319,0.0,8097280956.0,0.11197204762578039,0.0,0.274796792
Afghanistan,2018-01-01,2018,72.083247177304,0.05962851242163669,0.0,8206682106.0,0.013510850197057112,0.0,0.661572218
Afghanistan,2019-01-01,2019,77.7379491783367,0.07844682672415915,0.0,8497655795.0,0.03545570368654416,0.0,0.124495985
Afghanistan,2020-01-01,2020,76.8135364354897,-0.011891396063540838,-0.011891396063540838,9748946327.0,0.14725126107558473,0.0,0.064993957
Albania,1993-01-01,1993,102.0625,0.3602438943124646,0.0,166509702.6,,0.0,4.893212106
Albania,1994-01-01,1994,94.6233333333333,-0.07288834456011462,-0.07288834456011462,223594867.3,0.3428338637847044,0.0,2.817723791
Albania,1995-01-01,1995,92.6975,-0.020352626202134405,-0.09175750153092466,265298058.0,0.18651228985523316,0.0,2.409561582
Albania,1996-01-01,1996,104.498916666667,0.12731105657290653,0.0,323376838.7,0.21891898168361257,0.0,2.785604685
Albania,1997-01-01,1997,148.932916666667,0.42521014970649484,0.0,342425753.0,0.05890624194539762,0.0,2.070920499
Albania,1998-01-01,1998,150.633333333333,0.011417332747681197,0.0,417921457.2,0.22047320780805868,0.0,1.730916179
Albania,1999-01-01,1999,137.690583333333,-0.08592221730471372,-0.08592221730471372,523112274.3,0.2516999672731808,0.0,1.254589945
Albania,2000-01-01,2000,143.709416666667,0.04371274481976095,-0.045965368444341737,646305676.5,0.2355008824154443,0.0,3.989320711
Albania,2001-01-01,2001,143.484833333333,-0.0015627600371862505,-0.0474562956406287,770581227.4,0.1922860272139355,0.0,5.107088686
Albania,2002-01-01,2002,140.154515875,-0.023210240280910233,-0.069565063896878,866478231.3,0.12444762536399145,0.0,2.990031159
Albania,2003-01-01,2003,121.86325,-0.13050785956346544,-0.1909941358707662,1038294231.0,0.19829234421991182,0.0,3.068687302
Albania,2004-01-01,2004,102.780051196172,-0.15659519013179113,-0.31768056298181757,1387912854.0,0.3367240350197034,0.0,4.607822786
Albania,2005-01-01,2005,99.8702544808992,-0.028310909377919913,-0.33699764673003263,1439592137.0,0.03723525065068678,0.0,3.178998145
Albania,2006-01-01,2006,98.1033770912698,-0.017691728120782235,-0.34872730410752373,1812802560.0,0.2592473336077967,0.0,3.553219138
Albania,2007-01-01,2007,90.4278938310708,-0.07823872620672545,-0.39968205024737113,2161936583.0,0.19259351829247207,0.0,5.867403518
Albania,2008-01-01,2008,83.8946041005291,-0.07224861106183245,-0.44305418831248544,2363791897.0,0.0933678238239053,0.0,9.406653201
