Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.223058133,2.055485928,0.186907631,17.06355004,21.18513773,-3.857808858,-1.655492522,-5.874439462,-0.418781726,6.16194332,12.91393144,6.81314995,27.13683528,-6.828727173,-14.07505557,16.94905601,7.816428712,-4.687638978,-8.804935635,8.920466621,-17.5903165,0.664175811,-0.415637599,7.611672202,18.50578004,-12.03318022,9.974455092,7.465254603,-0.907264204,0.923397979,5.253373308,4.399821673,-2.215282568,6.48977645,4.55871502,7.567071864,-3.767482788,
Africa Eastern and Southern,AFE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.032510148,0.765922798,0.422781216,0.254926362,1.135435753,0.352354121,0.506462032,0.062240814,0.136599124,-0.012056899,0.282588844,0.211011202,0.341443827,0.047393398,0.371551642,0.073699718,0.264570123,0.149220731,0.266145542,0.186701073,0.033877913,0.483397927,0.276092885,0.356957052,0.498139632,0.996373478,0.781602505,2.045058437,1.570459239,2.405665622,1.533787319,4.773985183,2.471801362,2.4607828,1.84013978,2.041870012,1.272838314,2.472774813,3.216872321,2.628390538,1.669232244,1.884805442,2.588085336,2.239720925,2.831887699,3.194606209,2.019910148,1.062528912,1.338880087,1.495315461,1.429247354,5.039921294,1.780590156,1.879056724,
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004827601,0.024168568,1.30694987,1.278493252,3.577104201,4.368673104,3.413772973,1.935701714,0.455360445,0.451889146,1.20311799,0.29302518,0.285440894,0.239801184,0.209664795,0.884000463,0.516606085,0.274796792,0.661572218,0.124495985,0.064993957,0.144466947,,,
Africa Western and Central,AFW,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.783790576,1.884062266,1.907502745,1.756553577,1.050622907,1.695193138,0.890523516,1.086546248,0.959248926,0.813937679,-0.189816837,0.541731372,0.448417513,0.508003657,0.258311344,0.648476864,0.187143246,0.924280885,0.875345484,2.471883373,0.867590633,0.644636422,0.974829786,1.355046256,1.773250256,0.456338408,0.450293415,0.588387281,0.640878536,1.714409368,1.80110696,2.148721367,2.457504774,2.532871491,1.799825531,2.925964224,2.285026834,2.763438434,2.837522825,3.522921591,3.148729391,3.544789167,2.795339762,2.269307639,1.83619978,2.133300267,2.235357177,2.556356539,1.91395252,1.512229988,1.362541729,1.98293379,1.841048464,2.365502616,
Angola,AGO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0.630975104,0.88370687,2.086485073,1.803662496,1.095005676,3.68013758,3.308572716,1.471968449,1.493756423,1.96044201,-2.981428692,6.266630536,3.466087528,5.236863254,3.837036558,8.52948884,2.399001963,5.382316118,17.12161168,40.16724856,9.62386615,24.0090757,11.40619191,20.08101444,9.329239296,-3.526657179,-0.072000996,-1.368762395,1.896313897,3.136660683,-3.8511115,-2.704873236,-1.143767779,-5.380130995,2.690005647,11.08133903,-0.340242829,-10.03837678,-8.125891109,-5.780813143,-3.848263987,-6.548542276,-6.320563843,-2.497352736,-0.168898069
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,3.066661599,4.893212106,2.817723791,2.409561582,2.785604685,2.070920499,1.730916179,1.254589945,3.989320711,5.107088686,2.990031159,3.068687302,4.607822786,3.178998145,3.553219138,5.867403518,9.406653201,10.90682015,9.01744998,8.083292858,7.495975133,9.80035898,8.648466357,8.62740637,8.711472254,7.714113363,7.831091461,7.70621465,7.018653013,6.757907216,7.579341584,6.883977284,6.307673584
Andorra,AND,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.207102161,0.113503333,0.465786648,-0.910754215,-2.317461175,0.905182106,0.19681576,0.391713554,0.247273479,-0.039874231,-0.680969294,1.486215381,2.637481763,1.3339226,1.469491697,0.481610664,0.592857226,0.002629999,0.389205061,0.294517879,0.47861097,0.456407002,0.74765565,0.909600282,0.987831869,0.058163957,0.641554218,1.460053547,1.610148136,0.458459032,0.503069488,1.195012239,0.824962494,1.758339139,2.164765414,3.168134364,3.971183603,3.803404342,2.587327352,2.221854151,2.117874276,1.320841794,1.554293203,1.25365946,0.861860605,0.852309358,1.912803648,1.213825311,1.525936174,1.22669094,1.28751686,2.262870713,2.112047871,2.448805528,
United Arab Emirates,ARE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.134132773,0.738381451,0.742710556,0.080590964,0.013989607,0.108350617,0.257271595,0.451274584,0.164537297,0.206817088,0.223949268,-0.034337775,0.203892014,0.106393608,0.407195241,-0.544187527,0.324685539,0.128404884,0.520707069,0.093548785,-0.22843531,0.050317964,0.239162943,0.721471949,0.105319789,0.608195467,0.408474867,0.294815986,0.340485312,-1.166835786,-0.485281533,1.14589217,0.086781366,3.422662711,6.767152113,6.034816041,5.765437532,5.500439717,1.604874607,0.447367366,2.930409874,1.982108342,2.487363363,2.439895658,2.673603848,2.309335225,2.601119691,2.651415482,2.43186976,4.276339601,5.689844173,4.977884314,4.522601094,5.968823873,
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.284224297,0.377464477,0.206489502,0.190792478,0.024738815,0.106009598,0.478175477,0.253605959,0.280742881,0.29746292,0.88095511,1.06384544,0.269252481,0.177920359,0.229226259,1.042530577,0.542162215,-0.017461488,0.903930866,1.341515906,1.298879041,1.285578854,1.936794516,1.179802812,1.411953029,2.17392759,2.553203406,3.127877939,2.438768962,8.460582171,3.665790595,0.806164135,2.198958195,1.294810869,2.505017516,2.649354415,2.381068545,2.251294236,2.689900965,1.206439226,2.675161719,2.044659979,2.8066719,1.779205536,0.96240665,1.977134618,0.584748941,1.789365041,2.232531577,1.485006876,1.266169243,1.368380832,2.402155349,3.69401868,1.805079879
